name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:n_estimators,config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
trial_number=65,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,12,0.6390732627362145,1838174208,1838174208,0,129110016,129110016,0,bytes,1.6647284030914307,1.6771769523620605,0.012448549270629883,wall,seconds,1.6647284030914307,1.6771769523620605
trial_number=64,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,82,0.6435530719256599,1838178304,1838178304,0,129110016,129110016,0,bytes,1.651416301727295,1.6948413848876953,0.04342508316040039,wall,seconds,1.651416301727295,1.6948413848876953
trial_number=66,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,93,0.7253155332935757,1838174208,1838174208,0,129110016,129110016,0,bytes,1.68623948097229,1.7357478141784668,0.04950833320617676,wall,seconds,1.68623948097229,1.7357478141784668
trial_number=67,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,92,0.7060898828395563,1838178304,1838178304,0,129110016,129110016,0,bytes,1.7033181190490723,1.757392168045044,0.05407404899597168,wall,seconds,1.7033181190490723,1.757392168045044
trial_number=68,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,88,0.7152618783754017,1838174208,1838174208,0,129110016,129110016,0,bytes,1.7486202716827393,1.7962727546691895,0.047652482986450195,wall,seconds,1.7486202716827393,1.7962727546691895
trial_number=69,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,89,0.6712664552193294,1838391296,1838391296,0,129273856,129273856,0,bytes,1.7661309242248535,1.8170266151428223,0.05089569091796875,wall,seconds,1.7661309242248535,1.8170266151428223
trial_number=70,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,78,0.669344320700088,1838370816,1838370816,0,129110016,129110016,0,bytes,1.8051745891571045,1.854067325592041,0.04889273643493652,wall,seconds,1.8051745891571045,1.854067325592041
trial_number=71,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,75,0.5961157330373229,1838391296,1838391296,0,129273856,129273856,0,bytes,1.8270034790039062,1.8705713748931885,0.04356789588928223,wall,seconds,1.8270034790039062,1.8705713748931885
trial_number=72,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,74,0.6077941635487663,1838370816,1838370816,0,129110016,129110016,0,bytes,1.8660407066345215,1.9046711921691895,0.03863048553466797,wall,seconds,1.8660407066345215,1.9046711921691895
trial_number=73,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,84,0.5422483424118314,1838391296,1838391296,0,129273856,129273856,0,bytes,1.879671335220337,1.9234366416931152,0.04376530647277832,wall,seconds,1.879671335220337,1.9234366416931152
trial_number=74,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,83,0.543351013384069,1838370816,1838370816,0,129110016,129110016,0,bytes,1.913379192352295,1.9565026760101318,0.043123483657836914,wall,seconds,1.913379192352295,1.9565026760101318
trial_number=75,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,72,0.558049802918642,1838391296,1838391296,0,129273856,129273856,0,bytes,1.9318139553070068,1.9705123901367188,0.038698434829711914,wall,seconds,1.9318139553070068,1.9705123901367188
trial_number=76,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,72,0.4441605811992548,1838370816,1838370816,0,129110016,129110016,0,bytes,1.9654982089996338,2.0058953762054443,0.04039716720581055,wall,seconds,1.9654982089996338,2.0058953762054443
trial_number=77,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,95,0.48867387407671253,1838391296,1838391296,0,129273856,129273856,0,bytes,1.984126091003418,2.0335052013397217,0.04937911033630371,wall,seconds,1.984126091003418,2.0335052013397217
trial_number=78,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,95,0.4928442657849791,1838370816,1838370816,0,129110016,129110016,0,bytes,2.014646053314209,2.063908576965332,0.04926252365112305,wall,seconds,2.014646053314209,2.063908576965332
trial_number=79,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,57,0.5851427651594443,1838391296,1838391296,0,129273856,129273856,0,bytes,2.042207956314087,2.072093963623047,0.02988600730895996,wall,seconds,2.042207956314087,2.072093963623047
trial_number=80,success,170679558,NA,NA,optuna-doc-example,1.0,79,0.5815194066122206,1838370816,1838370816,0,129110016,129110016,0,bytes,2.072376012802124,2.1150271892547607,0.04265117645263672,wall,seconds,2.072376012802124,2.1150271892547607
trial_number=81,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,68,0.4295734879500821,1838391296,1838391296,0,129273856,129273856,0,bytes,2.0802853107452393,2.117358446121216,0.03707313537597656,wall,seconds,2.0802853107452393,2.117358446121216
trial_number=82,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,78,0.6305190308766329,1838370816,1838370816,0,129110016,129110016,0,bytes,2.127436637878418,2.1699798107147217,0.04254317283630371,wall,seconds,2.127436637878418,2.1699798107147217
trial_number=83,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,79,0.6258281663360463,1838391296,1838391296,0,129273856,129273856,0,bytes,2.130920171737671,2.1745147705078125,0.0435945987701416,wall,seconds,2.130920171737671,2.1745147705078125
trial_number=84,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,87,0.524605568902689,1838370816,1838370816,0,129110016,129110016,0,bytes,2.182629346847534,2.2286860942840576,0.04605674743652344,wall,seconds,2.182629346847534,2.2286860942840576
trial_number=85,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,87,0.5232168973860055,1838391296,1838391296,0,129273856,129273856,0,bytes,2.1866519451141357,2.2328603267669678,0.04620838165283203,wall,seconds,2.1866519451141357,2.2328603267669678
trial_number=86,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,86,0.563757807631299,1838370816,1838370816,0,129110016,129110016,0,bytes,2.2805869579315186,2.3267383575439453,0.04615139961242676,wall,seconds,2.2805869579315186,2.3267383575439453
trial_number=87,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,80,0.5687294254326026,1838391296,1838391296,0,129273856,129273856,0,bytes,2.2840518951416016,2.326812982559204,0.04276108741760254,wall,seconds,2.2840518951416016,2.326812982559204
trial_number=88,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,80,0.6542215771139674,1838370816,1838370816,0,129110016,129110016,0,bytes,2.3384175300598145,2.3843493461608887,0.04593181610107422,wall,seconds,2.3384175300598145,2.3843493461608887
trial_number=89,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,82,0.6550378500424282,1838391296,1838391296,0,129273856,129273856,0,bytes,2.3438267707824707,2.3927266597747803,0.04889988899230957,wall,seconds,2.3438267707824707,2.3927266597747803
trial_number=90,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,76,0.5929512087008575,1838370816,1838370816,0,129110016,129110016,0,bytes,2.4027483463287354,2.4439449310302734,0.041196584701538086,wall,seconds,2.4027483463287354,2.4439449310302734
trial_number=91,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,84,0.6027288500116113,1838391296,1838391296,0,129273856,129273856,0,bytes,2.4050841331481934,2.4539170265197754,0.04883289337158203,wall,seconds,2.4050841331481934,2.4539170265197754
trial_number=92,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,89,0.6019789669427538,1838370816,1838370816,0,129110016,129110016,0,bytes,2.4580206871032715,2.5073869228363037,0.04936623573303223,wall,seconds,2.4580206871032715,2.5073869228363037
trial_number=93,success,170679558,NA,NA,optuna-doc-example,1.0,91,0.6167031180957501,1838391296,1838391296,0,129273856,129273856,0,bytes,2.4636120796203613,2.5177907943725586,0.054178714752197266,wall,seconds,2.4636120796203613,2.5177907943725586
trial_number=94,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,91,0.5752009492207322,1838370816,1838370816,0,129110016,129110016,0,bytes,2.525221586227417,2.5748038291931152,0.04958224296569824,wall,seconds,2.525221586227417,2.5748038291931152
trial_number=95,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,92,0.6799943418304899,1838391296,1838391296,0,129273856,129273856,0,bytes,2.5289623737335205,2.5789475440979004,0.04998517036437988,wall,seconds,2.5289623737335205,2.5789475440979004
trial_number=96,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,63,0.6820054754898212,1838370816,1838370816,0,129110016,129110016,0,bytes,2.5867879390716553,2.6201300621032715,0.03334212303161621,wall,seconds,2.5867879390716553,2.6201300621032715
trial_number=97,success,170679558,NA,NA,optuna-doc-example,1.0,97,0.45947792808855326,1838391296,1838391296,0,129273856,129273856,0,bytes,2.5908219814300537,2.6422066688537598,0.051384687423706055,wall,seconds,2.5908219814300537,2.6422066688537598
trial_number=98,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,77,0.6192110032911106,1838370816,1838370816,0,129110016,129110016,0,bytes,2.6293585300445557,2.6704957485198975,0.0411372184753418,wall,seconds,2.6293585300445557,2.6704957485198975
trial_number=99,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,98,0.6203713147702646,1838391296,1838391296,0,129273856,129273856,0,bytes,2.6513025760650635,2.703716993331909,0.0524144172668457,wall,seconds,2.6513025760650635,2.703716993331909
trial_number=100,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,98,0.5436643214246428,1838370816,1838370816,0,129110016,129110016,0,bytes,2.679900884628296,2.7302706241607666,0.0503697395324707,wall,seconds,2.679900884628296,2.7302706241607666
trial_number=101,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,98,0.48209882705925644,1838391296,1838391296,0,129273856,129273856,0,bytes,2.712423324584961,2.762423515319824,0.05000019073486328,wall,seconds,2.712423324584961,2.762423515319824
trial_number=102,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,100,0.45330407662435823,1838370816,1838370816,0,129110016,129110016,0,bytes,2.739213466644287,2.7906439304351807,0.051430463790893555,wall,seconds,2.739213466644287,2.7906439304351807
trial_number=103,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,96,0.4514173394313088,1838391296,1838391296,0,129273856,129273856,0,bytes,2.7716290950775146,2.827185869216919,0.0555567741394043,wall,seconds,2.7716290950775146,2.827185869216919
trial_number=104,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,85,0.46334172920099814,1838370816,1838370816,0,129110016,129110016,0,bytes,2.8004238605499268,2.851710319519043,0.05128645896911621,wall,seconds,2.8004238605499268,2.851710319519043
trial_number=105,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,85,0.4694103365818285,1838391296,1838391296,0,129273856,129273856,0,bytes,2.8369221687316895,2.8843138217926025,0.047391653060913086,wall,seconds,2.8369221687316895,2.8843138217926025
